"Season","Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def"
"2009","Mariners","13074.0","0","0","12","3","0","-6","66","","80","-0.2","6.1","92.3","-12.2","86.0","11.8","-35.1","","","96.9"
"2003","Mariners","12969.0","0","-2","2","6","-1","0","31","","41","-0.4","4.5","60.5","11.5","76.1","10.8","","","","83.1"
"2007","Royals","12936.0","0","-4","-1","7","-2","0","38","","43","9.3","3.1","63.2","-3.3","72.3","11.4","","","","75.3"
"2011","Diamondbacks","12990.0","12","2","5","1","-6","5","37","0","57","-4.0","-0.8","58.6","6.9","60.6","7.2","18.4","","","73.6"
"2008","Rays","13119.0","0","-4","0","3","2","-2","9","","15","5.4","3.4","65.9","-2.1","72.6","11.4","-21.7","","","71.1"
"2021","Rangers","12819.0","13","0","2","-4","14","11","39","17","86","13.3","-1.5","16.7","4.9","33.4","6.1","16.7","27","24","70.4"
"2013","Royals","13035.0","-9","3","2","5","15","15","30","-2","67","17.7","4.4","33.4","4.8","60.3","11.6","-9.0","","","68.0"
"2014","Royals","13056.0","-9","4","4","-4","5","6","24","-5","27","9.9","-7.1","41.8","7.2","51.8","7.1","-13.1","","","65.5"
"2008","Phillies","13047.0","0","1","-4","-4","18","2","63","","76","21.3","0.3","42.2","2.7","66.5","13.6","15.9","","","65.0"
"2004","Devil Rays","12753.0","0","2","1","0","11","-6","-9","","6","11.0","-0.8","58.5","-11.6","57.1","9.5","","","","63.1"
"2002","Twins","13002.0","0","0","0","0","0","0","0","","0","9.5","-3.0","45.2","8.7","60.4","9.8","","","","61.4"
"2009","Reds","13125.0","0","0","1","-3","13","3","9","","34","14.0","1.4","29.1","3.7","48.2","8.7","25.1","","","61.1"
"2008","Athletics","12915.0","0","2","3","12","1","3","20","","57","0.8","9.9","31.1","-5.4","36.4","6.1","0.8","","","60.0"
"2008","Astros","12828.0","0","2","-2","4","2","4","4","","17","4.3","2.2","29.2","16.3","52.0","7.9","-1.2","","","59.8"
"2011","Rays","13041.0","-16","0","1","4","6","12","38","10","65","1.2","5.0","44.5","6.6","57.3","9.3","-20.6","","","59.8"
"2010","Giants","13149.0","7","3","4","1","7","0","0","0","23","7.2","-1.4","36.4","14.3","56.5","9.4","1.0","","","58.8"
"2006","Royals","12837.0","0","1","3","9","-3","0","21","","30","5.6","2.1","44.5","-1.7","50.6","7.6","","","","58.6"
"2008","Red Sox","13017.0","0","2","0","0","-7","8","12","","17","-4.3","0.5","56.3","4.7","57.1","7.2","-7.9","","","58.1"
"2005","Braves","12993.0","0","1","0","2","24","3","30","","57","27.0","2.7","20.0","9.3","59.0","12.5","","","","58.0"
"2004","Dodgers","13080.0","0","4","-1","1","-1","2","60","","72","0.8","6.4","36.9","14.8","58.9","8.9","","","","57.9"
"2003","Giants","12936.0","0","4","-4","4","7","0","18","","32","8.6","5.4","36.1","9.3","59.4","10.1","","","","56.4"
"2010","Padres","13107.0","-7","1","0","-3","-5","8","63","1","70","-4.1","-1.2","36.4","14.4","45.4","5.1","11.1","","","55.3"
"2012","Braves","13008.0","22","2","3","-1","2","11","48","0","85","8.7","2.5","27.5","5.7","44.4","8.2","37.6","","","53.7"
"2003","Dodgers","13119.0","0","7","12","2","-3","0","39","","68","-4.2","3.6","35.4","1.8","36.6","4.7","","","","52.6"
"2003","Devil Rays","12930.0","0","-2","5","2","8","0","-1","","18","4.7","-3.5","44.1","-3.9","41.4","5.8","","","","52.4"
"2009","Phillies","13101.0","0","3","-1","1","12","10","-20","","7","13.5","-1.0","5.0","9.4","26.9","5.9","9.5","","","50.7"
"2007","Cubs","13020.0","0","-5","-10","2","12","8","18","","16","14.6","5.3","44.4","2.9","67.1","13.6","","","","49.1"
"2005","Phillies","12915.0","0","-6","-3","0","19","2","89","","97","10.9","-1.1","43.3","1.6","54.7","10.0","","","","48.7"
"2006","Tigers","13032.0","0","1","4","10","8","-2","18","","54","5.9","3.0","28.6","-2.5","35.0","6.3","","","","48.0"
"2009","Giants","13014.0","0","-5","1","-3","5","-11","35","","17","-1.6","-6.9","65.7","-0.8","56.3","7.0","5.1","","","47.5"
"2004","Mariners","13134.0","0","-1","0","2","6","9","5","","28","8.7","-0.4","37.4","-2.5","43.2","7.2","","","","47.2"
"2003","Astros","13050.0","0","2","4","-2","24","0","35","","71","20.7","-2.5","19.8","-0.7","37.2","9.3","","","","46.2"
"2006","Mariners","13020.0","0","-9","1","4","7","-1","50","","54","12.6","5.5","23.9","0.1","42.0","8.3","","","","46.0"
"2002","Cardinals","13017.0","0","0","0","0","0","0","0","","0","11.5","8.4","19.6","6.2","45.7","8.9","","","","45.7"
"2013","Orioles","13077.0","-2","-12","3","7","5","6","7","10","26","5.9","5.0","14.9","11.2","36.9","6.6","-4.0","","","45.7"
"2018","Cubs","13287.0","-10","3","3","1","12","11","52","3","82","14.2","4.9","-5.9","10.2","23.4","6.2","-19.9","26","20","45.6"
"2002","Angels","13071.0","0","0","0","0","0","0","0","","0","0.5","-1.7","28.9","5.9","33.4","4.4","","","","45.4"
"2003","Angels","12882.0","0","-2","3","2","1","0","16","","22","7.7","0.3","33.0","-1.7","39.3","6.6","","","","45.3"
"2009","Rays","12846.0","0","-2","-2","-5","11","7","36","","41","8.5","-6.2","54.3","-7.2","49.3","8.0","10.2","","","44.9"
"2014","Red Sox","13191.0","9","-3","2","-8","10","5","35","8","51","9.5","-4.0","29.2","11.8","46.4","7.2","14.0","","","44.9"
"2022","Yankees","13065.0","20","1","5","-2","7","8","62","25","129","15.1","-2.5","11.2","6.9","30.7","7.0","24.5","23","18","44.7"
"2011","Reds","13209.0","7","1","-2","-4","1","-5","52","1","61","3.0","-3.9","29.0","10.4","38.5","5.2","10.9","","","44.5"
"2021","Cardinals","12753.0","-6","3","3","-7","8","4","60","11","81","3.2","-6.6","21.6","12.8","31.0","4.0","-7.9","53","42","44.3"
"2010","Reds","13077.0","5","-4","0","0","-1","13","21","2","43","-2.6","2.0","19.1","19.4","37.9","4.7","16.3","","","43.9"
"2017","Twins","12924.0","2","6","1","-6","2","-5","29","-2","24","-0.3","-7.7","11.0","12.0","15.1","1.0","6.4","63","52","43.8"
"2002","Dodgers","13119.0","0","0","0","0","0","0","0","","0","-4.8","7.1","27.6","8.3","38.2","5.6","","","","43.2"
"2019","Red Sox","13239.0","10","0","1","-9","13","-4","-9","2","5","15.0","-5.9","-3.8","5.5","10.8","3.3","14.1","3","2","43.0"
"2011","Angels","13185.0","10","1","-1","6","7","13","-2","1","29","3.8","6.7","23.6","7.8","41.8","6.6","9.9","","","42.9"
"2015","Royals","13068.0","-8","-2","3","-7","3","7","44","-14","35","4.2","-8.1","32.5","8.1","36.8","4.7","-10.7","","","42.8"
"2019","Indians","12939.0","20","7","1","2","8","11","-1","19","66","13.5","-0.5","8.1","11.8","32.9","7.0","13.0","31","24","42.8"
"2005","Nationals","13122.0","0","1","4","2","4","-10","-8","","-6","7.2","4.3","22.0","4.2","37.7","6.6","","","","42.7"
"2014","Orioles","13152.0","1","2","0","11","9","12","21","8","58","14.2","6.6","20.7","-0.2","41.3","8.6","6.0","","","41.9"
"2005","Twins","13179.0","0","-1","3","10","2","-1","19","","45","-0.2","4.0","28.2","-0.1","31.9","4.6","","","","41.9"
"2022","Diamondbacks","12870.0","-15","3","2","-5","5","0","29","33","56","1.5","-2.2","34.4","-2.0","31.7","4.2","-6.4","44","38","41.7"
"2017","Indians","12966.0","9","-1","4","4","7","16","-12","18","52","3.6","3.6","-10.6","8.2","4.9","1.8","13.1","31","24","41.5"
"2004","Blue Jays","12789.0","0","2","6","-3","11","-3","25","","37","8.3","0.1","17.9","10.0","36.3","6.2","","","","41.3"
"2019","Diamondbacks","13185.0","3","-1","3","5","6","8","27","38","91","9.7","0.2","7.9","3.2","21.0","4.7","5.1","28","21","41.3"
"2018","Astros","13095.0","12","2","1","3","4","10","27","3","61","2.8","1.5","-17.7","0.9","-12.5","-1.3","14.5","41","33","41.1"
"2018","Brewers","13149.0","6","1","2","1","0","5","85","18","121","-0.9","3.6","36.9","-14.6","24.9","4.0","7.1","38","33","40.9"
"2007","Braves","13107.0","0","1","-2","2","16","4","44","","59","21.9","-1.4","27.2","-2.3","45.5","10.2","","","","40.5"
"2014","Reds","13014.0","-7","2","0","-1","4","11","28","18","65","5.7","-1.1","19.7","9.4","33.7","5.6","-0.7","","","39.8"
"2010","Diamondbacks","12888.0","10","-2","-4","3","2","-4","15","-2","15","-0.6","3.5","52.1","-1.3","53.7","7.2","7.7","","","39.7"
"2004","White Sox","12891.0","0","2","1","2","7","2","16","","32","4.8","-0.4","23.0","7.0","34.4","5.7","","","","39.4"
"2019","Cardinals","12996.0","-13","0","2","5","5","-3","53","16","77","5.3","5.7","9.5","12.2","32.8","6.1","-10.9","29","21","38.9"
"2007","Tigers","13026.0","0","4","1","4","1","-3","33","","42","5.0","-2.1","28.2","1.5","32.6","4.8","","","","38.6"
"2007","Phillies","13125.0","0","3","4","0","26","-3","16","","47","11.5","-0.6","20.5","1.2","32.6","6.1","","","","38.6"
"2012","Angels","12900.0","-7","0","-3","-1","2","23","28","-3","41","4.3","0.7","34.7","-4.5","35.2","5.5","-14.8","","","37.6"
"2017","Reds","12870.0","-19","7","6","0","17","8","18","6","56","10.9","3.5","-4.5","2.0","11.9","4.0","-17.1","15","13","37.5"
"2021","Royals","12756.0","-7","2","4","3","3","10","-4","11","23","3.6","5.7","7.0","5.8","22.1","3.4","-17.3","27","21","37.3"
"2005","Angels","13179.0","0","4","6","3","0","-2","23","","31","0.6","-1.9","21.7","6.6","27.0","3.6","","","","37.0"
"2011","Rangers","12972.0","-12","-3","2","7","-5","-5","7","3","-5","-3.4","7.4","36.9","-10.6","30.3","4.2","-11.9","","","36.4"
"2008","Cardinals","13086.0","0","-2","6","3","3","3","47","","69","2.6","0.1","2.4","14.1","19.2","2.8","18.3","","","36.0"
"2017","Mariners","12963.0","-5","4","1","11","12","-3","-18","6","9","12.6","8.4","0.5","-11.4","10.1","4.1","3.0","19","16","36.0"
"2002","Giants","12936.0","0","0","0","0","0","0","0","","0","-3.3","4.2","29.3","3.6","33.8","4.2","","","","35.8"
"2017","Brewers","13011.0","6","1","-2","7","5","-5","-11","25","23","12.7","1.1","-4.3","-19.7","-10.2","0.4","-3.5","31","23","35.1"
"2016","Royals","12960.0","-12","1","4","-3","8","5","2","-4","10","3.7","-3.0","11.3","9.2","21.2","2.9","-19.1","25","23","35.1"
"2006","Astros","13218.0","0","3","-3","4","3","7","38","","56","-2.3","4.5","25.9","8.8","37.0","4.8","","","","35.0"
"2021","Astros","13005.0","-5","-4","1","-2","1","5","57","16","76","0.5","-1.3","18.2","2.7","20.1","2.8","0.8","39","32","34.9"
"2006","Twins","12954.0","0","-2","-1","-5","1","8","3","","15","1.9","-6.3","32.6","2.5","30.8","4.0","","","","34.8"
"2022","Cardinals","12921.0","-8","3","-1","2","8","12","34","11","67","7.6","2.8","12.7","20.0","43.1","6.3","-3.4","26","20","34.0"
"2010","Twins","13074.0","-2","3","3","-2","4","6","-23","0","-2","1.9","-4.6","16.4","14.4","28.1","3.6","4.3","","","33.8"
"2008","Mets","13179.0","0","-1","-1","-5","-1","5","28","","33","1.9","1.8","26.6","1.5","31.8","4.9","5.8","","","33.5"
"2022","Astros","13008.0","-1","0","0","5","5","8","15","44","67","8.2","0.4","11.1","-5.4","14.3","4.5","-2.9","32","27","33.2"
"2013","Rangers","13170.0","-1","-2","1","3","8","0","12","3","29","11.4","1.2","20.1","-2.2","30.5","6.0","-9.9","","","33.1"
"2002","Mariners","13008.0","0","0","0","0","0","0","0","","0","-10.5","-1.8","31.5","5.9","25.0","1.1","","","","33.0"
"2008","Cubs","13056.0","0","3","-3","-3","0","-10","-4","","-19","2.2","2.1","29.8","-3.7","30.3","5.1","-6.8","","","33.0"
"2018","Marlins","12978.0","1","-4","3","-3","-8","-11","8","25","21","-4.5","0.4","8.1","4.0","8.1","0.4","5.3","24","15","33.0"
"2003","White Sox","12879.0","0","0","2","2","-5","0","24","","27","-2.8","3.7","23.1","2.0","26.0","3.3","","","","33.0"
"2009","Tigers","13023.0","0","-3","5","1","9","9","3","","25","5.9","-0.2","18.3","2.6","26.5","4.6","-33.8","","","32.6"
"2021","Rays","13101.0","14","2","2","4","0","-5","45","18","72","0.4","2.0","17.7","-5.6","14.4","2.4","5.1","29","27","32.1"
"2005","Indians","13074.0","0","-2","-1","12","-10","-2","40","","33","-11.8","5.3","46.9","-4.5","35.9","3.1","","","","31.9"
"2015","Blue Jays","12969.0","2","0","5","7","1","-4","-18","22","25","-8.0","-1.2","15.4","3.5","9.7","-0.4","6.9","","","31.6"
"2005","Tigers","12921.0","0","1","10","1","-6","5","20","","39","-7.5","0.5","13.6","4.9","11.5","0.2","","","","31.5"
"2002","Braves","13206.0","0","0","0","0","0","0","0","","0","0.5","-0.7","26.6","-1.1","25.4","3.4","","","","31.4"
