"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2017","CLE","102","60","37","659","162","1440.2","10.08","2.54","1.02",".303","77.5%","44.1%","13.0%","93.2","3.30","","3.33","3.41","30.4"
"2011","PHI","102","60","47","556","162","1477.0","7.92","2.46","0.73",".286","77.5%","46.5%","8.3%","92.5","3.02","","3.24","3.41","29.5"
"2018","HOU","103","59","46","672","162","1455.0","10.44","2.69","0.94",".283","77.9%","44.0%","11.6%","94.9","3.11","","3.23","3.36","28.6"
"2003","NYY","101","61","49","530","163","1462.0","6.89","2.31","0.89",".302","70.4%","42.7%","9.3%","","4.03","","3.66","3.92","28.6"
"2002","NYY","103","58","53","495","161","1452.0","7.04","2.50","0.89",".293","70.7%","42.8%","9.0%","","3.89","","3.62","3.87","28.2"
"2021","CHW","93","69","43","674","162","1403.1","10.18","3.11","1.17",".288","74.4%","41.2%","12.8%","95.5","3.73","","3.74","3.85","27.6"
"2021","LAD","106","56","56","762","162","1452.0","9.91","3.01","1.00",".260","76.5%","44.5%","11.8%","94.1","3.03","","3.54","3.75","27.1"
"2022","HOU","106","56","53","642","162","1445.1","9.49","2.85","0.83",".268","77.2%","42.7%","9.3%","94.4","2.90","","3.28","3.55","27.0"
"2003","LAD","85","77","58","600","162","1457.2","7.96","3.25","0.78",".280","77.0%","48.0%","10.5%","","3.16","","3.56","3.63","27.0"
"2002","ARI","98","64","40","584","162","1446.2","8.11","2.62","1.06",".289","72.7%","43.6%","11.5%","","3.93","","3.67","3.57","26.4"
"2013","DET","93","69","39","590","162","1462.2","8.79","2.84","0.79",".306","73.7%","45.4%","9.2%","93.9","3.61","","3.27","3.43","26.3"
"2001","NYY","95","65","57","523","161","1451.1","7.85","2.88","0.98",".300","71.5%","","","","4.04","","3.79","","26.1"
"2019","LAD","106","56","44","707","162","1445.2","9.46","2.44","1.15",".271","74.7%","44.9%","14.1%","93.5","3.39","","3.73","3.87","25.4"
"2003","ARI","84","78","42","614","162","1455.0","7.99","3.25","0.93",".293","73.1%","47.3%","11.4%","","3.84","","3.83","3.81","24.6"
"2022","LAD","111","51","43","725","162","1451.1","9.08","2.52","0.94",".255","78.3%","42.5%","9.8%","93.2","2.80","","3.45","3.67","24.6"
"2019","TBR","96","66","46","765","162","1474.1","9.90","2.77","1.10",".290","73.7%","44.1%","13.4%","94.2","3.67","","3.65","3.89","24.5"
"2012","DET","88","74","40","582","162","1430.2","8.29","2.76","0.95",".307","72.7%","43.4%","10.5%","93.8","3.77","","3.63","3.74","24.5"
"2018","NYY","100","62","49","670","162","1456.1","10.10","3.05","1.09",".300","73.9%","42.9%","12.9%","95.1","3.78","","3.63","3.61","24.5"
"2014","WSN","96","66","45","620","162","1470.2","7.88","2.15","0.67",".294","74.9%","44.8%","7.5%","93.7","3.03","","3.18","3.43","24.3"
"2019","HOU","107","55","47","654","162","1462.1","10.28","2.76","1.42",".270","76.8%","43.6%","16.7%","94.6","3.66","","3.98","3.80","24.2"
"2008","CHW","89","74","34","626","163","1457.2","7.08","2.84","0.96",".298","71.0%","45.5%","10.0%","92.2","4.11","","4.00","4.01","24.1"
"2003","CHC","88","74","36","582","162","1456.1","8.68","3.81","0.88",".291","73.1%","47.1%","11.6%","","3.83","","3.80","3.75","24.1"
"2010","CHW","88","74","43","569","162","1446.1","7.15","3.05","0.85",".305","71.5%","44.9%","8.4%","92.8","4.09","","3.80","3.94","24.0"
"2001","OAK","102","60","44","578","162","1463.1","6.87","2.71","0.94",".282","74.0%","","","","3.59","","3.88","","23.9"
"2019","MIN","101","61","50","686","162","1463.1","9.00","2.78","1.22",".309","71.8%","41.8%","13.4%","93.0","4.18","","4.03","4.27","23.7"
"2016","WSN","95","67","46","670","162","1459.2","9.10","2.89","0.96",".288","75.0%","43.3%","10.9%","93.8","3.52","","3.58","3.82","23.5"
"2021","MIL","95","67","44","695","162","1436.0","10.14","3.37","1.05",".275","74.7%","44.5%","13.3%","93.2","3.50","","3.72","3.75","23.4"
"2017","NYY","91","71","36","639","162","1448.2","9.69","3.13","1.19",".280","74.5%","46.2%","14.2%","95.3","3.75","","3.88","3.82","23.4"
"2017","BOS","93","69","39","677","162","1482.1","9.59","2.82","1.18",".303","75.7%","41.0%","12.7%","93.8","3.73","","3.78","3.91","23.2"
"2011","CHW","79","83","42","572","162","1460.0","7.52","2.71","0.91",".303","71.3%","44.2%","9.4%","92.6","4.10","","3.66","3.69","23.2"
"2002","OAK","103","59","48","570","162","1452.0","6.33","2.94","0.84",".281","73.2%","46.6%","9.0%","","3.69","","3.87","4.10","23.1"
"2005","CHW","99","63","54","574","162","1475.2","6.34","2.80","1.02",".275","75.4%","43.6%","10.5%","","3.61","","4.12","4.14","23.0"
"2017","WSN","97","65","46","649","162","1446.2","9.06","3.08","1.18",".287","74.4%","44.0%","12.8%","94.1","3.88","","3.99","4.12","23.0"
"2008","ARI","82","80","39","606","162","1434.2","7.71","2.83","0.92",".297","70.9%","45.3%","9.9%","91.4","3.99","","3.84","3.87","22.9"
"2015","CHC","97","65","48","714","162","1461.1","8.81","2.51","0.83",".287","72.7%","46.6%","10.7%","93.1","3.36","","3.30","3.37","22.9"
"2017","ARI","93","69","43","675","162","1441.0","9.26","3.22","1.07",".294","74.2%","48.1%","13.1%","93.6","3.67","","3.80","3.86","22.9"
"2022","ATL","101","61","55","680","162","1448.0","9.66","3.11","0.92",".286","74.6%","43.5%","10.4%","94.7","3.46","","3.46","3.58","22.7"
"2007","SDP","89","74","45","648","163","1484.2","6.89","2.87","0.72",".287","71.6%","45.8%","7.4%","90.1","3.72","","3.81","4.13","22.7"
"2022","PHI","87","75","42","678","162","1428.1","8.97","2.92","0.95",".302","71.2%","44.2%","10.6%","94.4","3.98","","3.60","3.70","22.7"
"2002","BOS","93","69","51","500","162","1446.0","7.20","2.68","0.91",".282","72.1%","45.2%","9.7%","","3.75","","3.74","3.88","22.6"
"2005","HOU","89","73","45","597","163","1443.0","7.26","2.74","0.97",".281","75.8%","46.4%","11.3%","","3.52","","3.84","3.75","22.6"
"2003","CHW","86","76","36","523","162","1431.0","6.64","3.26","1.02",".281","71.4%","42.1%","10.5%","","4.17","","4.22","4.32","22.5"
"2004","MIN","92","70","48","597","162","1476.0","6.85","2.63","1.02",".302","72.9%","44.6%","10.2%","","4.04","","3.98","4.14","22.4"
"2003","OAK","96","66","48","526","162","1441.2","6.36","3.12","0.87",".274","73.6%","46.6%","9.8%","","3.63","","4.03","4.21","22.4"
"2008","TOR","86","76","44","583","162","1446.2","7.37","2.91","0.83",".284","74.8%","46.6%","9.3%","92.5","3.49","","3.81","3.92","22.3"
"2000","ATL","95","67","53","538","162","1440.1","6.83","3.02","1.03",".288","71.9%","","","","4.06","","4.19","","22.3"
"2004","CHC","89","73","42","622","162","1465.1","8.27","3.35","1.04",".289","75.5%","44.8%","11.7%","","3.83","","3.98","3.92","22.3"
"2012","TEX","93","69","43","590","162","1442.0","8.03","2.78","1.09",".292","71.5%","43.9%","11.6%","93.5","4.02","","3.90","3.86","22.2"
"2015","WSN","83","79","41","630","162","1434.2","8.42","2.28","0.91",".300","72.7%","44.7%","10.3%","94.0","3.62","","3.45","3.58","22.2"
"2001","CHC","88","74","41","614","162","1437.0","8.42","3.44","1.03",".294","72.7%","","","","4.03","","3.91","","22.2"
"2000","ARI","85","77","38","552","162","1443.2","7.61","3.12","1.18",".297","71.6%","","","","4.36","","4.28","","22.1"
"2021","SFG","107","55","56","761","162","1455.0","8.81","2.57","0.93",".279","74.9%","45.6%","10.9%","93.7","3.25","","3.55","3.87","22.0"
"2018","CLE","91","71","41","670","162","1457.1","9.54","2.51","1.24",".298","76.0%","42.5%","13.7%","93.2","3.77","","3.78","3.66","22.0"
"2001","ARI","92","70","34","583","162","1459.2","8.00","2.84","1.20",".284","74.7%","","","","3.88","","4.08","","21.8"
"2019","WSN","93","69","40","692","162","1439.1","9.45","3.23","1.26",".296","73.0%","42.6%","13.9%","93.8","4.28","","4.14","4.32","21.7"
"2017","LAD","104","58","51","698","162","1444.2","9.65","2.75","1.15",".281","77.8%","42.7%","13.4%","93.1","3.38","","3.67","3.70","21.7"
"2021","NYY","92","70","47","674","162","1435.1","9.84","3.08","1.23",".284","74.0%","41.9%","12.9%","94.9","3.76","","3.90","4.00","21.7"
"2010","COL","83","79","35","675","162","1442.0","7.70","3.28","0.87",".302","70.8%","46.5%","9.6%","92.8","4.14","","3.83","3.80","21.6"
"2003","BOS","95","67","36","599","162","1464.2","7.01","3.00","0.94",".300","67.9%","44.9%","10.4%","","4.49","","3.99","4.09","21.5"
"2016","NYM","87","75","55","700","162","1447.0","8.68","2.73","0.95",".308","75.6%","44.2%","11.1%","93.8","3.58","","3.57","3.78","21.5"
"2005","LAA","95","67","54","541","162","1464.1","6.92","2.72","0.97",".288","75.0%","41.2%","9.2%","","3.68","","3.89","4.11","21.4"
"2003","FLA","91","71","36","557","162","1445.1","7.05","3.30","0.80",".297","71.6%","42.1%","8.3%","","4.04","","3.80","4.21","21.3"
"2006","LAA","89","73","50","542","162","1452.2","7.21","2.92","0.98",".291","70.1%","42.3%","9.2%","","4.04","","4.03","4.29","21.3"
"2013","TEX","91","72","46","638","163","1463.1","8.05","3.06","0.97",".293","75.5%","42.8%","10.7%","93.5","3.63","","3.77","3.75","21.2"
