"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"STL","52982","138997","3968","17132","16297","1698","8.7%","18.2%",".158",".300",".263",".334",".421",".328","","102","30.6","349.6","1102.2","598.3"
"NYY","51018","140491","4905","18576","17788","2222","9.5%","18.6%",".176",".296",".264",".340",".440",".338","","109","61.2","1588.7","-748.4","565.5"
"BOS","51328","141808","4269","18605","17713","1792","9.1%","18.4%",".171",".308",".270",".342",".441",".339","","106","-78.5","886.2","-256.3","550.4"
"LAD","52669","138883","3915","16517","15730","2070","8.9%","18.7%",".156",".295",".258",".329",".414",".323","","100","23.5","13.3","806.2","534.4"
"ATL","52082","139136","3952","16708","15944","1756","8.7%","19.3%",".157",".300",".260",".329",".417",".324","","97","-2.1","-537.4","1266.5","520.8"
"SFG","53027","138527","3484","15916","15140","1642","8.4%","18.2%",".149",".295",".257",".325",".407",".317","","96","-88.8","-849.5","1163.1","481.4"
"HOU","52071","138396","4136","16641","15873","2062","8.5%","19.0%",".162",".295",".258",".327",".420",".324","","99","-83.5","-282.3","479.8","473.8"
"TBD","50913","137994","3819","16130","15363","2618","8.5%","20.3%",".156",".297",".253",".323",".409",".319","","99","158.5","-62.9","-1.9","468.8"
"ANA","50849","138012","3852","16814","16008","2451","8.0%","17.7%",".153",".296",".262",".326",".416",".322","","100","8.3","-69.4","3.4","468.7"
"PHI","51495","139524","3981","16540","15762","2241","8.8%","19.6%",".159",".295",".254",".326",".414",".321","","95","174.9","-735.3","802.6","454.6"
"MIL","52152","138041","4217","16075","15367","2279","8.6%","21.1%",".164",".296",".252",".323",".416",".321","","94","-45.9","-1038.5","993.1","447.7"
"CLE","50376","139280","3977","17137","16342","2084","8.8%","18.8%",".160",".298",".260",".331",".420",".327","","101","63.7","280.3","-590.9","446.6"
"CHC","52672","138588","4062","16182","15401","1678","8.5%","20.3%",".161",".296",".254",".324",".415",".321","","94","-68.1","-1085.1","1047.1","446.5"
"TOR","50941","138577","4488","17253","16487","1734","8.4%","18.7%",".171",".292",".259",".326",".430",".328","","101","-58.9","30.9","-403.7","438.3"
"NYM","52770","138307","3727","15817","15080","2123","8.6%","19.0%",".151",".292",".253",".324",".405",".317","","96","13.2","-631.9","554.9","438.1"
"OAK","50613","138931","3959","16727","15925","1627","9.1%","18.6%",".157",".286",".251",".325",".408",".320","","99","60.8","-39.3","-548.4","416.8"
"MIN","50671","138891","3658","16755","15889","1910","8.3%","18.5%",".152",".301",".262",".328",".414",".323","","98","0.1","-344.6","-299.1","412.7"
"SEA","50447","138014","3708","15897","15123","2240","8.2%","19.1%",".147",".294",".255",".321",".401",".315","","97","-33.0","-446.6","-156.3","410.4"
"TEX","50207","138911","4482","17703","16853","2212","8.1%","19.2%",".170",".299",".262",".327",".432",".329","","97","147.3","-320.3","-482.1","398.2"
"CIN","52446","138768","4155","16112","15388","2089","8.6%","20.3%",".160",".294",".253",".324",".413",".320","","92","8.6","-1401.4","847.2","396.9"
"SDP","52732","137550","3400","15140","14392","2187","8.7%","20.5%",".143",".292",".247",".317",".389",".309","","93","70.7","-1133.0","562.4","387.8"
"ARI","51800","138959","3793","16300","15543","1970","8.6%","19.8%",".159",".296",".254",".323",".413",".319","","90","92.6","-1633.0","868.9","376.0"
"CHW","49958","137433","4288","16703","16004","2012","7.8%","19.0%",".162",".296",".260",".324",".422",".324","","97","-147.1","-571.9","-503.9","363.0"
"MON","52262","137864","3654","15799","15031","2072","8.5%","19.3%",".152",".297",".256",".325",".407",".318","","93","-73.7","-1344.1","455.1","357.1"
"FLA","51995","137493","3388","15281","14494","2267","8.0%","20.4%",".144",".302",".254",".320",".398",".313","","92","18.4","-1338.9","449.8","352.4"
"DET","50337","137708","3724","16242","15534","1634","7.7%","19.3%",".154",".305",".263",".324",".417",".322","","98","-130.6","-521.9","-799.9","343.3"
"BAL","50539","137671","4140","16150","15423","1830","7.5%","18.6%",".157",".293",".258",".319",".416",".319","","96","-97.9","-841.1","-511.2","336.3"
"COL","52542","139649","4011","17777","16917","2035","8.3%","19.7%",".166",".314",".269",".334",".435",".333","","89","54.9","-1912.4","534.6","313.6"
"PIT","52335","137280","3307","15117","14405","1810","7.9%","19.7%",".143",".296",".252",".318",".395",".311","","90","-71.1","-1862.7","234.7","285.0"
"KCR","49732","137161","3123","15827","14970","2444","7.1%","17.5%",".139",".300",".262",".320",".401",".314","","90","-6.2","-1722.7","-359.6","265.3"
